2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/authority],methods=[GET]}" onto public java.lang.String com.gd.controller.authority.AuthorityController.queryForList()
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/common/ClcikNext],methods=[POST]}" onto public java.lang.String com.gd.controller.common.CommonController.next(java.lang.String)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/common/update/{id}],methods=[GET]}" onto public java.lang.String com.gd.controller.common.CommonController.deleteUserTemp(java.lang.String)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/camera/update],methods=[POST]}" onto public java.lang.String com.gd.controller.config.CameraController.updateCamera(java.util.Map<java.lang.String, java.lang.String>)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/camera/judgeDelete],methods=[POST]}" onto public java.lang.String com.gd.controller.config.CameraController.judgeDelete(java.util.Map<java.lang.String, java.lang.String>)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/camera/add],methods=[POST]}" onto public java.lang.String com.gd.controller.config.CameraController.addCamera(java.util.Map<java.lang.String, java.lang.String>)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/camera],methods=[GET]}" onto public java.lang.String com.gd.controller.config.CameraController.getCamera()
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/camera/delete1],methods=[POST]}" onto public java.lang.String com.gd.controller.config.CameraController.delete1Camera(java.util.Map<java.lang.String, java.lang.String>)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/camera/delete],methods=[POST]}" onto public java.lang.String com.gd.controller.config.CameraController.deleteCamera(java.util.Map<java.lang.String, java.lang.String>)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/camera/addtbl],methods=[POST]}" onto public java.lang.String com.gd.controller.config.CameraController.addTblCamera(java.util.Map<java.lang.String, java.lang.Object>)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/camera/tblCamera],methods=[GET]}" onto public java.lang.String com.gd.controller.config.CameraController.getTblCamera()
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/config/clean],methods=[POST]}" onto public java.lang.String com.gd.controller.config.ConfigController.clean(java.lang.String)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/config/getText],methods=[GET]}" onto public java.lang.String com.gd.controller.config.ConfigController.getText()
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/config],methods=[GET]}" onto public java.lang.String com.gd.controller.config.ConfigController.getConfig()
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/config/cleanNow],methods=[GET]}" onto public java.lang.String com.gd.controller.config.ConfigController.getclean()
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/config/getCSText],methods=[GET]}" onto public java.lang.String com.gd.controller.config.ConfigController.getCSText()
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/config/addCSText],methods=[POST]}" onto public java.lang.String com.gd.controller.config.ConfigController.addCSText(int)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/config/addConfigText],methods=[POST]}" onto public java.lang.String com.gd.controller.config.ConfigController.addConfigText(int)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/config],methods=[POST]}" onto public java.lang.String com.gd.controller.config.ConfigController.addConfig(java.util.Map<java.lang.String, java.lang.Object>)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/config/CollectNewResult],methods=[GET]}" onto public java.lang.String com.gd.controller.config.ConfigController.CollectNewResult()
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/config/downloadFile]}" onto public void com.gd.controller.config.ConfigController.downloadMcode(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.UnsupportedEncodingException
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/config/downloadData],methods=[POST]}" onto public void com.gd.controller.config.ConfigController.downloadData(java.util.Map<java.lang.String, java.lang.String>,javax.servlet.http.HttpServletResponse)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/config/addText],methods=[POST]}" onto public java.lang.String com.gd.controller.config.ConfigController.addText(java.lang.String)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/config/checkName1],methods=[POST]}" onto public java.lang.String com.gd.controller.config.ConfigController.checkName1(java.lang.String)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/config/addCamera1],methods=[POST]}" onto public java.lang.String com.gd.controller.config.ConfigController.addCamera1(int)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/config/getTextNow],methods=[GET]}" onto public java.lang.String com.gd.controller.config.ConfigController.getTextNow()
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/config/import],methods=[POST]}" onto public java.lang.String com.gd.controller.config.ConfigController.codeUpload(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/config/getCSTextNow],methods=[GET]}" onto public java.lang.String com.gd.controller.config.ConfigController.getCSTextNow()
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/config/getCameraNow],methods=[GET]}" onto public java.lang.String com.gd.controller.config.ConfigController.getCameraNow()
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/config/addCameraLocation],methods=[POST]}" onto public java.lang.String com.gd.controller.config.ConfigController.addCameraLocation(java.lang.String)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/config/exportCameraLocation],methods=[GET]}" onto public void com.gd.controller.config.ConfigController.exportCameraLocation(javax.servlet.http.HttpServletResponse)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/groups],methods=[POST]}" onto public void com.gd.controller.group.GroupController.add(java.util.Map<java.lang.String, java.lang.Object>)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/groups/update],methods=[POST]}" onto public void com.gd.controller.group.GroupController.update(java.util.Map<java.lang.String, java.lang.Object>)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/groups/{id}],methods=[DELETE]}" onto public java.lang.String com.gd.controller.group.GroupController.delete(int)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/groups],methods=[GET]}" onto public java.lang.String com.gd.controller.group.GroupController.list()
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/groups/downloadFile]}" onto public void com.gd.controller.group.GroupController.downloadMcode(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.UnsupportedEncodingException
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/groups/codec_import],methods=[POST]}" onto public java.lang.String com.gd.controller.group.GroupController.codeUpload(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
